Primary address,Secondary address,lat_grid,lon_grid
9400 not reported hwy,not reported,30.358,-97.688
7100 n not reported rd,11400 not reported rd,30.404,-97.854
11500 n lamar blvd blvd,800 north bend dr,30.385,-97.685
loyola ln ln,johnny morris rd rd,30.3,-97.648
not reported,e martin lutheran king jr blvd blvd,30.278,-97.73
12200 research blvd svrd sb blvd,duval rd rd,30.426,-97.754
2800 s lakeline blvd,pecan park blvd,30.476,-97.811
not reported hwy,lakeline blvd,30.479,-97.803
1800 w stassney ln,manchaca rd,30.216,-97.799
3700 not reported,concordia ave ave,30.292,-97.722
13900 not reported,not reported,30.102,-97.812
1900 not reported hwy,2000 mariposa dr,30.237,-97.739
1000 s lamar blvd,1300 readwell st,30.256,-97.762
5107 cameron rd,e 51st st,30.309,-97.71
100 s lamar blvd,1300 w riverside dr,30.264,-97.757
9700 research blvd sb blvd,mopac expy expy,30.39,-97.746
4700 davis ln,8700 latta dr,30.204,-97.859
3600 montopolis,6200 burleson,30.206,-97.717
2000 e riverside dr,1600 town creek,30.241,-97.728
14800 n ih 35 hwy,1700 w wells branch pkwy,30.44,-97.669
9th st,neches st,30.27,-97.737
7700 not reported,not reported,30.322,-97.707
8800 not reported hwy,e rundberg ln ln,30.352,-97.692
1000 blk e 16th st,1600 blk navosota,30.276,-97.729
5600 manchaca rd rd,2000` w w stassney ln,30.215,-97.798
9000 not reported,800 e rundberg ln,30.357,-97.689
12400 not reported blvd,oak knoll dr,30.429,-97.758
northland dr,marilyn dr,30.335,-97.751
4600 e riverside dr,wickersham ln,30.232,-97.72
9300 not reported hwy,arterial a,30.329,-97.642
300 not reported loop,not reported,30.218,-97.755
9800 not reported rd,boulder ln,30.426,-97.843
11213 el salido pkwy pkwy,11700 wind song cv cv,30.454,-97.816
braker ln ln,n lamar blvd blvd,30.382,-97.686
chicon st,e 3rd st,30.259,-97.724
7000 e william cannon dr dr,mckinney falls pkwy,30.164,-97.727
11018 lakeline blvd,n lakecreek pkwy,30.48,-97.796
7600 metrocenter dr,e riverside dr,30.215,-97.692
3700 n lamar blvd,w 37th st,30.304,-97.744
800 e koenig ln,airport blvd,30.32,-97.713
1500 barton springs rd,500 kinney ave,30.262,-97.762
1500 s lamar blvd,800 collier st,30.252,-97.764
e powell ln,georgian dr,30.348,-97.703
300 w 46th st,4500 avenue c,30.312,-97.729
mesa dr,greystone dr,30.365,-97.763
duval rd,not reported,30.408,-97.716
s lamar blvd,butler rd,30.262,-97.758
not reported hwy,airport blvd,30.302,-97.715
1000 e 6th st,600 san marcos st,30.265,-97.733
